species	accession	gene	reference_aa	global_blosum62_score	paired_columns	identity_in_paired_columns	identical_aa	candidate_paired_fraction
Drosophila_melanogaster	I0C0M5	CG7627-RA	1355	3605.0	1307	0.5485845447589901	717	0.9782934131736527
Drosophila_melanogaster	Q9VLN6	Dme_CG7627	1355	3605.0	1307	0.5485845447589901	717	0.9782934131736527
Drosophila_melanogaster	B3DN70	CG7627-RA	1355	3600.0	1307	0.5485845447589901	717	0.9782934131736527
Drosophila_melanogaster	Q9VDT3	Mrp5	1362	3539.5	1297	0.5489591364687741	712	0.9708083832335329
Drosophila_melanogaster	A0A0B4KGI0	Mrp5	1408	3516.5	1297	0.5489591364687741	712	0.9708083832335329
Drosophila_melanogaster	A0ACM8PXM3	BEST:CK01227	1316	3307.0	1284	0.5155763239875389	662	0.9610778443113772
Drosophila_melanogaster	Q9VGM1	Mrp4	1316	3307.0	1284	0.5155763239875389	662	0.9610778443113772
Drosophila_melanogaster	Q7KT22	Dme_CG9270	1292	3259.5	1267	0.5153906866614049	653	0.9483532934131736
Drosophila_melanogaster	Q9VJ21	CG17338	1323	3210.5	1292	0.5030959752321982	650	0.9670658682634731
Drosophila_melanogaster	Q7KT41	CG17338	1307	3206.5	1282	0.5085803432137286	652	0.9595808383233533
Drosophila_melanogaster	Q8MT77	CG17338	1307	3206.5	1282	0.5085803432137286	652	0.9595808383233533
Drosophila_melanogaster	P91660	l(2)03659	1374	3038.0	1273	0.49096622152395913	625	0.9528443113772455
Drosophila_melanogaster	A0A0B4KEG2	l(2)03659	1374	3033.0	1273	0.49018067556952083	624	0.9528443113772455
Drosophila_melanogaster	X2JAE9	CG10441	1213	2997.5	1188	0.5193602693602694	617	0.8892215568862275
Drosophila_melanogaster	Q9VIG9	CG9270-RA	1145	2939.0	1120	0.5330357142857143	597	0.8383233532934131
Drosophila_melanogaster	Q7YU06		1145	2938.0	1120	0.5330357142857143	597	0.8383233532934131
Drosophila_melanogaster	A4V3K8	rdog	1374	2908.5	1299	0.46728252501924555	607	0.9723053892215568
Drosophila_melanogaster	Q961D3	rdog	1374	2908.5	1299	0.46728252501924555	607	0.9723053892215568
Drosophila_melanogaster	I0C0M1	CG5789-RA	1402	2885.0	1277	0.47768206734534063	610	0.9558383233532934
Drosophila_melanogaster	Q9VC63	Cftr	1402	2885.0	1277	0.47768206734534063	610	0.9558383233532934
Drosophila_melanogaster	A8WHL5	CG5789	1402	2880.0	1277	0.4768989819890368	609	0.9558383233532934
Drosophila_melanogaster	Q9W2I5	Dmel\CG10505	1312	2761.0	1273	0.45326001571091906	577	0.9528443113772455
Drosophila_melanogaster	F9W327	CG10505-RA	1317	2744.0	1273	0.4509033778476041	574	0.9528443113772455
Drosophila_melanogaster	Q960T8	CG17338	1074	2574.5	1049	0.5252621544327931	551	0.7851796407185628
Drosophila_melanogaster	Q9VAN4	Dmel\CG11898	1320	2520.5	1280	0.41640625	533	0.9580838323353293
